Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1840,3,Estratovolcán,Historical,False,False,Savo (Solomon Is-SW Pacifi)
1850,2,Escudo piroclástico,Historical,False,False,Rabaul (New Britain-SW Pac)
1858,,Estratovolcán,Historical,False,False,Tate-yama (Honshu-Japan)
1883,2,Volcán en escudo,Historical,False,False,Karthala (Indian O-W)
1887,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1890,2,Estratovolcán,Historical,False,False,Makian (Halmahera-Indonesia)
1902,4,Estratovolcán,Historical,True,False,Pelee (W Indies)
1902,6,Estratovolcán,Historical,False,False,Santa Maria (Guatemala)
1936,3,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1937,2,Estratovolcán,Historical,False,False,Llaima (Chile-C)
1943,3,Volcán en escudo,Historical,False,False,"Azul, Cerro (Galapagos)"
1951,4,Estratovolcán,Historical,False,False,Lamington (New Guinea)
1970,,Caldera,Historical,False,False,Campi Flegrei (Italy)
1981,3,Estratovolcán,Historical,False,False,Semeru (Java)
1983,1,Volcán complejo,Historical,True,False,Iliwerung (Lesser Sunda Is)
1985,1,Estratovolcán,Historical,False,False,Etna (Italy)
1990,3,Estratovolcán,Historical,False,False,Sabancaya (Peru)
1990,,Estratovolcán,Historical,False,False,Nyiragongo (Africa-C)
1997,3,Estratovolcán,Historical,False,False,Semeru (Java)
1999,3,Estratovolcán,Historical,True,False,Soufriere Hills (W Indies)
2000,2,Estratovolcán,Historical,False,False,Merapi (Java)
1593,5,Estratovolcán,Historical,False,False,Raung (Java)
1609,,Cono piroclástico,Historical,False,False,Tengchong (China-S)
1692,4,Estratovolcán,Historical,False,False,Serua (Banda Sea)
1718,2,Estratovolcán,Historical,False,False,Pico (Azores)
1846,,Caldera,Radiocarbon,False,False,Taupo (New Zealand)
1866,2,Volcán en escudo,Historical,False,False,Santorini (Greece)
1877,0,Volcán en escudo,Historical,True,True,Mauna Loa (Hawaiian Is)
1883,3,Cono de lava,Historical,False,False,Bagana (Bougainville-SW Paci)
1886,4,Volcán en escudo,Historical,False,False,Niuafo'ou (Tonga-SW Pacific)
1896,2,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1902,4,Estratovolcán,Historical,True,False,Pelee (W Indies)
1914,,Volcán en escudo,Historical,False,False,Aoba (Vanuatu-SW Pacific)
1923,1,Estratovolcán,Historical,False,False,Papandayan (Java)
1928,2,Volcán en escudo,Historical,False,False,Santorini (Greece)
1947,,Estratovolcán,Historical,False,False,Akagi (Honshu-Japan)
1963,5,Estratovolcán,Historical,True,False,Agung (Lesser Sunda Is)
1963,2,Estratovolcán,Historical,False,False,Semeru (Java)
1965,4,Estratovolcán,Historical,True,False,Taal (Luzon-Philippines)
1973,3,volcán submarino,Historical,False,False,Vestmannaeyjar (Iceland-S)
1974,3,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1975,0,Volcán en escudo,Historical,True,True,Kilauea (Hawaiian Is)
1982,5,Cono de toba,Historical,False,False,"Chichon, El (Mexico)"
1986,3,Maar,Radiocarbon,False,False,Oku Volc Field (Africa-W)
1992,3,Estratovolcán,Historical,False,False,Semeru (Java)
1994,3,Estratovolcán,Historical,False,False,Yasur (Vanuatu-SW Pacific)
1998,,Estratovolcán,Historical,False,False,San Cristobal (Nicaragua)
